bond_id,currency,metric,value,reference_yield,curve_used,notes
CORP_SOFR_FRN,USD,clean_price_pct,101.5063421398,0.0065000000,SOFR_OIS_CURVE,
CORP_SOFR_FRN,USD,dirty_price_pct,102.2123195041,0.0065000000,SOFR_OIS_CURVE,
CORP_SOFR_FRN,USD,accrued,0.7059773643,0.0065000000,SOFR_OIS_CURVE,
CORP_SOFR_FRN,USD,discount_margin_bps,62.1329885021,0.0065000000,SOFR_OIS_CURVE,
SYNTH_CALLABLE_SOFR_FRN,USD,clean_price_pct,105.1274495839,0.0125000000,SOFR_OIS_CURVE,
SYNTH_CALLABLE_SOFR_FRN,USD,dirty_price_pct,105.8135732333,0.0125000000,SOFR_OIS_CURVE,
SYNTH_CALLABLE_SOFR_FRN,USD,accrued,0.6861236494,0.0125000000,SOFR_OIS_CURVE,
SYNTH_CALLABLE_SOFR_FRN,USD,discount_margin_bps,121.8311172461,0.0125000000,SOFR_OIS_CURVE,
SYNTH_CALLABLE_SOFR_FRN,USD,dm_to_call_20271115_bps,157.0342851839,0.0125000000,SOFR_OIS_CURVE,
SYNTH_CALLABLE_SOFR_FRN,USD,dm_to_call_20281115_bps,148.1871453487,0.0125000000,SOFR_OIS_CURVE,
SYNTH_CALLABLE_SOFR_FRN,USD,dm_to_worst_bps,143.3976520760,0.0125000000,SOFR_OIS_CURVE,
SYNTH_CALLABLE_SOFR_FRN,USD,dm_to_worst_workout_yyyymmdd,20291115.0000000000,0.0125000000,SOFR_OIS_CURVE,
